ecut,nkpts,alat,energy,total_force,run_time
80.0,56.0,7.35,-364.94957414,0.0,
80.0,56.0,7.36,-364.95070377,0.0,
80.0,56.0,7.37,-364.95173705,0.0,
80.0,56.0,7.38,-364.95268224,0.0,
80.0,56.0,7.39,-364.95353582,0.0,
80.0,56.0,7.4,-364.95430028,0.0,
80.0,56.0,7.41,-364.95497814,0.0,
80.0,56.0,7.42,-364.95556837,0.0,
80.0,56.0,7.43,-364.95607485,0.0,
80.0,56.0,7.44,-364.9564984,0.0,
80.0,56.0,7.45,-364.95683656,0.0,
80.0,56.0,7.46,-364.95709557,0.0,
80.0,56.0,7.47,-364.9572731,0.0,
80.0,56.0,7.48,-364.95736887,0.0,
80.0,56.0,7.49,-364.95738896,0.0,
80.0,56.0,7.5,-364.95732794,0.0,
80.0,56.0,7.51,-364.95719369,0.0,
80.0,56.0,7.52,-364.95698505,0.0,
80.0,56.0,7.53,-364.95669994,0.0,
80.0,56.0,7.54,-364.95634341,0.0,
80.0,56.0,7.55,-364.95591179,0.0,
80.0,56.0,7.56,-364.9554108,0.0,
80.0,56.0,7.57,-364.95483984,0.0,
80.0,56.0,7.58,-364.95419727,0.0,
80.0,56.0,7.59,-364.95348811,0.0,
80.0,56.0,7.6,-364.95271192,0.0,
