ecut,nkpts,alat,energy,total_force,run_time
40.0,440.0,5.2,-111.52405647,0.0,
40.0,440.0,5.21,-111.52477456,0.0,
40.0,440.0,5.22,-111.52542812,0.0,
40.0,440.0,5.23,-111.52601064,0.0,
40.0,440.0,5.24,-111.52656014,0.0,
40.0,440.0,5.25,-111.52703626,0.0,
40.0,440.0,5.26,-111.5274701,0.0,
40.0,440.0,5.27,-111.52784691,0.0,
40.0,440.0,5.28,-111.52818853,0.0,
40.0,440.0,5.29,-111.52847365,0.0,
40.0,440.0,5.3,-111.5287151,0.0,
40.0,440.0,5.31,-111.52891453,0.0,
40.0,440.0,5.32,-111.52909561,0.0,
40.0,440.0,5.33,-111.52921635,0.0,
40.0,440.0,5.34,-111.52930654,0.0,
40.0,440.0,5.35,-111.52939267,0.0,
40.0,440.0,5.36,-111.52940529,0.0,
40.0,440.0,5.37,-111.52938994,0.0,
40.0,440.0,5.38,-111.5293352,0.0,
40.0,440.0,5.39,-111.52926687,0.0,
40.0,440.0,5.4,-111.52914885,0.0,
40.0,440.0,5.41,-111.52901471,0.0,
40.0,440.0,5.42,-111.52883498,0.0,
40.0,440.0,5.43,-111.52863687,0.0,
40.0,440.0,5.44,-111.52839657,0.0,
40.0,440.0,5.45,-111.52813255,0.0,
40.0,440.0,5.46,-111.52784353,0.0,
40.0,440.0,5.47,-111.52751499,0.0,
40.0,440.0,5.48,-111.52716007,0.0,
40.0,440.0,5.49,-111.5267729,0.0,
