ecut,nkpts,alat,energy,total_force,run_time
40.0,1248.0,4.8,-55.72796519,0.0,
40.0,1248.0,4.85,-55.74260888,0.0,
40.0,1248.0,4.9,-55.75524383,0.0,
40.0,1248.0,4.95,-55.76606654,0.0,
40.0,1248.0,5.0,-55.77519396,0.0,
40.0,1248.0,5.05,-55.78278314,0.0,
40.0,1248.0,5.1,-55.78894572,0.0,
40.0,1248.0,5.15,-55.79381996,0.0,
40.0,1248.0,5.2,-55.79748489,0.0,
40.0,1248.0,5.25,-55.80005226,0.0,
40.0,1248.0,5.3,-55.80159548,0.0,
40.0,1248.0,5.35,-55.80229049,0.0,
40.0,1248.0,5.4,-55.802305,0.0,
40.0,1248.0,5.45,-55.80194149,0.0,
40.0,1248.0,5.5,-55.80127451,0.0,
40.0,1248.0,5.55,-55.80013862,0.0,
40.0,1248.0,5.6,-55.79848224,0.0,
40.0,1248.0,5.65,-55.79630242,0.0,
40.0,1248.0,5.7,-55.79366313,0.0,
40.0,1248.0,5.75,-55.79060411,0.0,
40.0,1248.0,5.8,-55.78717829,0.0,
40.0,1248.0,5.85,-55.78344641,0.0,
40.0,1248.0,5.9,-55.77942049,0.0,
40.0,1248.0,5.95,-55.77515737,0.0,
40.0,1248.0,6.0,-55.77067858,0.0,
