ecut,nkpts,alat,energy,total_force,run_time
40.0,390.0,5.18,-55.79621153,0.0,
40.0,390.0,5.19,-55.79689536,0.0,
40.0,390.0,5.2,-55.79753061,0.0,
40.0,390.0,5.21,-55.7981308,0.0,
40.0,390.0,5.22,-55.79868312,0.0,
40.0,390.0,5.23,-55.79918681,0.0,
40.0,390.0,5.24,-55.7996588,0.0,
40.0,390.0,5.25,-55.80007953,0.0,
40.0,390.0,5.26,-55.80046373,0.0,
40.0,390.0,5.27,-55.80080484,0.0,
40.0,390.0,5.28,-55.80111222,0.0,
40.0,390.0,5.29,-55.80137811,0.0,
40.0,390.0,5.3,-55.801608,0.0,
40.0,390.0,5.31,-55.80180328,0.0,
40.0,390.0,5.32,-55.80197575,0.0,
40.0,390.0,5.33,-55.80210576,0.0,
40.0,390.0,5.34,-55.8022081,0.0,
40.0,390.0,5.35,-55.80229707,0.0,
40.0,390.0,5.36,-55.80234125,0.0,
40.0,390.0,5.37,-55.80236288,0.0,
40.0,390.0,5.38,-55.80235959,0.0,
40.0,390.0,5.39,-55.80234763,0.0,
40.0,390.0,5.4,-55.80230703,0.0,
40.0,390.0,5.41,-55.80225696,0.0,
40.0,390.0,5.42,-55.8021886,0.0,
40.0,390.0,5.43,-55.80211684,0.0,
40.0,390.0,5.44,-55.80202753,0.0,
40.0,390.0,5.45,-55.801931,0.0,
40.0,390.0,5.46,-55.80182936,0.0,
40.0,390.0,5.47,-55.8017067,0.0,
40.0,390.0,5.48,-55.80157157,0.0,
40.0,390.0,5.49,-55.80141928,0.0,
40.0,390.0,5.5,-55.80126723,0.0,
40.0,390.0,5.51,-55.80108009,0.0,
40.0,390.0,5.52,-55.8008824,0.0,
40.0,390.0,5.53,-55.80065563,0.0,
40.0,390.0,5.54,-55.80041452,0.0,
40.0,390.0,5.55,-55.80014813,0.0,
