ecut,nkpts,alat,energy,total_force,run_time
40.0,390.0,5.0,-55.74745945,0.0,
40.0,390.0,5.01,-55.74854173,0.0,
40.0,390.0,5.02,-55.74955102,0.0,
40.0,390.0,5.03,-55.75050002,0.0,
40.0,390.0,5.04,-55.75138929,0.0,
40.0,390.0,5.05,-55.75222575,0.0,
40.0,390.0,5.06,-55.75299953,0.0,
40.0,390.0,5.07,-55.75372406,0.0,
40.0,390.0,5.08,-55.75438695,0.0,
40.0,390.0,5.09,-55.75500083,0.0,
40.0,390.0,5.1,-55.75555697,0.0,
40.0,390.0,5.11,-55.75606762,0.0,
40.0,390.0,5.12,-55.75652089,0.0,
40.0,390.0,5.13,-55.7569424,0.0,
40.0,390.0,5.14,-55.75729745,0.0,
40.0,390.0,5.15,-55.75760538,0.0,
40.0,390.0,5.16,-55.75786542,0.0,
40.0,390.0,5.17,-55.75809275,0.0,
40.0,390.0,5.18,-55.75826172,0.0,
40.0,390.0,5.19,-55.75838963,0.0,
40.0,390.0,5.2,-55.7584712,0.0,
40.0,390.0,5.21,-55.75852005,0.0,
40.0,390.0,5.22,-55.75852301,0.0,
40.0,390.0,5.23,-55.75847977,0.0,
40.0,390.0,5.24,-55.758407,0.0,
40.0,390.0,5.25,-55.75828495,0.0,
40.0,390.0,5.26,-55.7581283,0.0,
40.0,390.0,5.27,-55.75793012,0.0,
40.0,390.0,5.28,-55.75769956,0.0,
40.0,390.0,5.29,-55.7574286,0.0,
40.0,390.0,5.3,-55.75712226,0.0,
40.0,390.0,5.31,-55.75678145,0.0,
40.0,390.0,5.32,-55.75641692,0.0,
40.0,390.0,5.33,-55.75600927,0.0,
40.0,390.0,5.34,-55.75557187,0.0,
40.0,390.0,5.35,-55.75511807,0.0,
40.0,390.0,5.36,-55.75461556,0.0,
40.0,390.0,5.37,-55.75408504,0.0,
40.0,390.0,5.38,-55.7535223,0.0,
40.0,390.0,5.39,-55.75294142,0.0,
40.0,390.0,5.4,-55.75232153,0.0,
40.0,390.0,5.41,-55.75167969,0.0,
40.0,390.0,5.42,-55.75100472,0.0,
40.0,390.0,5.43,-55.75031026,0.0,
40.0,390.0,5.44,-55.74958274,0.0,
40.0,390.0,5.45,-55.74883293,0.0,
40.0,390.0,5.46,-55.74806373,0.0,
40.0,390.0,5.47,-55.74726174,0.0,
40.0,390.0,5.48,-55.74643747,0.0,
40.0,390.0,5.49,-55.74558842,0.0,
40.0,390.0,5.5,-55.74473316,0.0,
40.0,390.0,5.51,-55.74383976,0.0,
40.0,390.0,5.52,-55.74293346,0.0,
40.0,390.0,5.53,-55.74199716,0.0,
40.0,390.0,5.54,-55.74104656,0.0,
40.0,390.0,5.55,-55.74007156,0.0,
