ecut,nkpts,alat,energy,total_force,run_time
40.0,94.0,5.42,-55.80199252,0.0,
40.0,144.0,5.42,-55.80244281,0.0,
40.0,208.0,5.42,-55.80222866,0.0,
40.0,290.0,5.42,-55.80216001,0.0,
40.0,390.0,5.42,-55.80218861,0.0,
40.0,512.0,5.42,-55.8022007,0.0,
40.0,656.0,5.42,-55.80219279,0.0,
40.0,826.0,5.42,-55.80218796,0.0,
40.0,1022.0,5.42,-55.80219032,0.0,
40.0,1248.0,5.42,-55.80219146,0.0,
40.0,1504.0,5.42,-55.80219159,0.0,
40.0,1794.0,5.42,-55.80219141,0.0,
40.0,2118.0,5.42,-55.80219135,0.0,
40.0,2480.0,5.42,-55.80219133,0.0,
40.0,2880.0,5.42,-55.80219132,0.0,
40.0,3322.0,5.42,-55.8021913,0.0,
