ecut,nkpts,alat,energy,total_force,run_time
40.0,740.0,4.61,-111.56627616,0.0,
40.0,740.0,4.6,-111.56475824,0.0,
40.0,740.0,4.62,-111.56778969,0.0,
40.0,740.0,4.63,-111.56926275,0.0,
40.0,740.0,4.64,-111.57069377,0.0,
40.0,740.0,4.65,-111.57205962,0.0,
40.0,740.0,4.66,-111.57334343,0.0,
40.0,740.0,4.67,-111.57455678,0.0,
40.0,740.0,4.68,-111.57567384,0.0,
40.0,740.0,4.69,-111.57670444,0.0,
40.0,740.0,4.71,-111.57848677,0.0,
40.0,740.0,4.7,-111.57764045,0.0,
40.0,740.0,4.72,-111.57924776,0.0,
40.0,740.0,4.73,-111.57992872,0.0,
40.0,740.0,4.74,-111.58051371,0.0,
40.0,740.0,4.75,-111.58101883,0.0,
40.0,740.0,4.76,-111.58143242,0.0,
40.0,740.0,4.77,-111.58176642,0.0,
40.0,740.0,4.78,-111.58201171,0.0,
40.0,740.0,4.79,-111.58217427,0.0,
40.0,740.0,4.8,-111.58226698,0.0,
40.0,740.0,4.81,-111.58229097,0.0,
40.0,740.0,4.82,-111.58223928,0.0,
40.0,740.0,4.83,-111.58210933,0.0,
40.0,740.0,4.84,-111.58191582,0.0,
40.0,740.0,4.85,-111.58165546,0.0,
40.0,740.0,4.86,-111.58132229,0.0,
40.0,740.0,4.87,-111.58092948,0.0,
40.0,740.0,4.88,-111.58047354,0.0,
40.0,740.0,4.89,-111.57997615,0.0,
40.0,740.0,4.91,-111.57880446,0.0,
40.0,740.0,4.9,-111.57941585,0.0,
40.0,740.0,4.92,-111.57814121,0.0,
40.0,740.0,4.93,-111.57742438,0.0,
40.0,740.0,4.94,-111.57666519,0.0,
